# bin/evaluate_enhancer_prediction_shogun.py data/classifier_config/MKL_1kern_spectrum6.classifier_config data/fantom_prom/subset/int_prom_600_7.bed data/fantom_enh/subset/fantom_600bp_promMatch_7.bed 2017-03-30 13:24:27.879630
#
#
#

spectrum6
F1                   0.759 (10)
WRACC                0.573 (10)
accuracy             0.786 (10)
balanced_err         0.214 (10)
cross_corr           0.589 (10)
error_rate           0.214 (10)
pr_auc               0.880 (10)
precision            0.872 (10)
recall               0.672 (10)
roc_auc              0.861 (10)
specificity          0.901 (10)

